AL
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,534395,576975,1313817,1882304,2282999,2149934,2079479,1994715,2013920,1775682,2377846,2796833,2039814,1913472,2271295,1981413,2086499,2215940,2453350,2341744,2589026,2891550,3419348,3019512,3090729
Republican,1420480,1453321,1769141,1432756,1570393,2047240,1939314,1961103,2457327,2623327,2368988,1905946,2174774,2788179,2364269,2358049,2707103,2310939,1734096,1587021,2019421,2345946,2031179,2135216,2146015
Other,90209,439771,24531,92866,103130,20761,17268,28228,9811,8398,10575,62,405161,19704,85718,410259,25486,32241,862711,382626,133661,36826,71844,87286,299680
 
 
IN
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,511364,492245,562691,862054,934974,874063,781403,807833,801530,783908,952358,1170848,806659,708568,1014714,844197,841481,860643,848420,887424,901980,969011,1374039,1152887,1033126
Republican,696370,703042,848290,677184,691570,899466,875891,821079,1136259,1182811,1175120,911118,1067885,1405154,1185958,1255656,1377230,1297763,989375,1006693,1245836,1479438,1345648,1420543,1557286
Other,55230,77103,10333,37689,24353,9218,14797,27302,17536,7888,7882,9640,249017,11807,21690,142180,14358,10215,468076,241314,51486,19553,31367,51104,144546
 
 
IA
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,227921,162600,378936,598019,621756,578800,499876,522380,451513,501858,550565,733030,476699,469206,619931,508672,605620,670557,586353,620258,638517,741898,828940,822544,653669
Republican,634674,537635,623818,414433,487977,632370,547267,494018,808906,729187,722381,449148,619106,706207,932863,676026,703088,545355,504891,492644,634373,751957,682379,730617,800983
Other,32481,276725,6608,24235,33000,4260,5456,21866,8354,3519,864,2361,72126,23531,26512,132963,11097,9702,263363,121173,80132,13053,25804,29019,110928
 
 
KS
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,185464,156319,193003,434204,464520,364725,287458,351902,273296,296317,363213,464028,302996,270287,430421,326150,333149,422636,390434,387659,399276,434993,514765,440726,427005
Republican,369268,407671,513672,349498,397727,489169,442096,423039,616302,566878,561474,386579,478674,619812,502752,566812,677296,554049,449951,583245,622332,736456,699655,692634,671018
Other,15511,98461,6525,18276,2766,6403,4222,13878,6568,3048,4138,7294,91113,25996,24672,86833,11546,16359,316851,103396,50608,16307,21452,26611,86379
 
 
KY
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,456497,374855,381070,580574,541944,557222,472589,466756,495729,476453,521855,669659,397541,371159,615717,617417,539539,580368,665104,636614,638923,712733,751985,679370,628854
Republican,452480,398966,558064,394716,369702,410384,392448,341210,495029,572192,602607,372977,462411,676446,531852,635274,821702,734281,617178,623283,872520,1096439,1048462,1087190,1202971
Other,9731,41511,1470,7773,14560,2457,2884,14692,2390,5160,0,3469,195941,19894,19573,42936,8104,7868,210618,128811,32663,13710,26173,30652,92324
 
 
LA
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,87519,93218,164655,249418,292894,319751,281564,136344,345027,243977,407339,387068,309615,298142,661365,708453,651586,717460,815971,927837,792344,820299,782989,809141,780154
Republican,38538,24670,51160,18853,36791,52446,67750,72657,306925,329047,230980,509225,257535,686852,587446,792853,1037299,883702,733386,712586,927871,1102169,1148275,1152262,1178638
Other,0,4063,18,533,93,108,69,207325,0,44520,169572,0,530300,66497,28572,47285,18437,27040,240660,143536,45441,20638,29497,32662,70240
 
 
ME
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,58961,41964,81179,128907,126333,156478,140631,111916,118806,102468,181159,262264,217312,160584,232279,220974,214515,243569,263420,312788,319951,396842,421923,401306,357735
Republican,136355,138440,179923,166631,168823,163951,155434,150234,232353,249238,240608,118701,169254,256458,236320,238522,336500,307131,206504,186378,286616,330201,295273,292276,335593
Other,2524,11788,1069,2906,9084,411,335,2637,627,0,0,0,6370,0,14369,63515,2129,4335,209575,106731,45250,13709,13967,31176,78564
 
 
MD
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,180626,148072,223626,314314,389612,384546,315490,286521,395337,372613,565808,730912,538310,505781,759612,726161,787935,826304,988571,966207,1144008,1334493,1629467,1677844,1677928
Republican,236117,162414,301479,184184,231435,269534,292949,294814,499424,559738,489538,385495,517995,829305,672661,680606,879918,876167,707094,681530,813827,1024703,959862,971869,943169
Other,11699,47157,3243,12556,3849,6024,0,15400,7313,0,0,0,178734,18726,0,133729,8020,11887,288915,133133,67377,25042,42267,57614,160349
 
 
MA
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,276691,280831,789758,800148,942716,1076522,1035296,1151788,1083525,948190,1487174,1786422,1469218,1332540,1429475,1053802,1239606,1401415,1318639,1571509,1616487,1803800,1904097,1921290,1995196
Republican,681153,703489,775566,736959,768613,939700,921350,909370,1292325,1393197,976750,549727,766844,1112078,1030276,1057631,1310936,1194635,805039,718058,878502,1071109,1108854,1188314,1090893
Other,35876,145589,9503,43007,129028,10771,4019,94189,7548,7119,5556,8649,95690,14138,87807,412657,8841,36751,649986,266892,239017,52555,90044,74592,238957
 
 
MI
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,233450,152238,396762,871700,1016794,1032991,1106899,1003448,1230657,1359898,1687269,2136615,1593082,1459435,1696714,1661532,1529638,1675783,1871182,1989653,2170418,2479183,2872579,2564569,2268839
Republican,762865,874631,965396,739894,699733,1039917,1084423,1038595,1551529,1713647,1620428,1060152,1370665,1961721,1893742,1915225,2251571,1965486,1554940,1461212,1953139,2313746,2048639,2115256,2279543
Other,51504,133429,9924,53034,88566,13017,13895,67566,16406,6923,10400,6335,342474,68571,61134,332968,20449,27894,848551,377979,108944,46323,80378,51136,250902
 
 
MN
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,142994,55913,396451,600806,698811,644196,589864,692966,608458,617525,779933,991117,857738,802346,1070440,954173,1036364,1109471,1020997,1120380,1168266,1445014,1573354,1546167,1367705
Republican,519421,420759,560977,363959,350461,596274,527416,483617,763211,719302,757915,559624,658643,897569,819395,873268,1032603,962337,747841,766395,1109659,1346695,1275409,1320225,1322949
Other,73423,345474,13548,38078,80703,10718,8249,35643,7814,3178,4039,0,72129,41087,60096,224475,15482,24982,579110,305717,160760,36678,61606,70169,254128
 
 
MS
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,69277,100475,124539,140168,157318,168267,158515,19384,172566,144498,108362,52618,150644,126782,381329,429281,352192,363921,400258,394022,404614,457766,554662,562949,485131
Republican,11576,8546,27153,0,0,2814,3742,5043,112966,56372,73561,356528,88516,505125,366846,441089,582377,557890,487793,439838,572844,672660,724597,710746,700714
Other,1639,3494,0,5866,7533,4743,17823,167763,0,47279,116248,0,415349,14056,20215,21380,6535,9716,93742,59997,16726,9398,10606,11889,23512
 
 
MO
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,574799,572753,662562,1025406,1111043,958476,807357,917315,929830,918273,972201,1164344,791444,697147,998387,931182,848583,1001619,1053873,1025935,1111138,1259171,1441911,1223796,1071068
Republican,727162,648486,834080,564713,697891,871009,761175,655039,959429,914299,962221,653535,811932,1153852,927443,1074181,1274188,1084953,811159,890016,1189924,1455713,1445814,1482440,1594511
Other,30839,86746,4079,19775,19701,4244,3146,6274,2803,0,0,0,206126,0,27770,94461,0,6656,526238,242114,58830,16480,37480,51087,143026
 
 
MT
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,57334,33805,78578,127286,159690,145698,112556,119071,106213,116238,134891,164246,114117,120197,149259,118032,146742,168936,154507,167922,137126,173710,231667,201839,177709
Republican,109430,74138,113300,78078,63598,99579,93163,96770,157394,154933,141841,113032,138835,183976,173703,206814,232450,190412,144207,179652,240178,266063,242763,267928,279240
Other,12204,66480,2230,11115,7224,2296,1636,8437,1430,0,1387,1350,21452,13430,5772,39106,5185,6326,111869,59509,33682,10661,15679,14281,37577
 
 
NE
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,119608,137289,197959,64103,347454,263677,233246,224165,188057,199029,232542,307307,170784,169991,233293,166424,187866,259235,216864,236761,231780,254328,333319,302081,284494
Republican,247498,218585,345745,53890,247731,352201,329880,264774,421603,378108,380553,276847,321163,406298,359219,419214,460054,397956,343678,363467,433862,512814,452979,475064,495961
Other,15547,108295,3434,4153,12847,0,0,0,0,0,0,0,44904,0,14237,53895,4170,4274,177004,77187,28674,11044,14983,17234,63772
 
 
NV
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,9851,5909,14090,28756,31925,31945,29623,31291,31688,40640,54880,79339,60598,66016,92479,66666,91655,132738,189148,203974,279978,397190,533736,531373,539260
Republican,15479,11243,18327,12674,11923,21229,24611,29357,50502,56049,52387,56094,73188,115750,101273,155017,188770,206040,175828,199244,301575,418690,412827,463567,512058
Other,1864,9769,0,0,0,0,0,1469,0,0,0,0,20432,0,8124,22009,2292,4355,141342,61061,27873,13707,21285,19978,74067
 
 
NH
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,62662,57201,80715,100680,108460,125292,119663,107995,106663,90364,137772,182065,130589,116435,147645,108864,120347,163696,209040,246166,266348,340511,384826,369561,348526
Republican,95196,98575,115404,103629,104642,110127,109916,121299,166287,176519,157989,104029,154903,213724,185935,221705,267050,281537,202484,196486,273559,331237,316534,329918,345790
Other,1234,8993,628,1211,5012,0,46,2146,0,111,0,0,11698,3896,6047,53421,1507,5292,125691,53945,29174,6539,9610,11493,50280
 
 
NJ
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,258761,298043,616517,806630,1083850,1016808,987874,895455,1015902,850337,1385415,1867671,1264206,1102211,1444653,1147364,1261323,1320352,1436206,1652361,1788850,1911430,2215422,2122786,2148278
Republican,615333,676277,926050,775684,720322,945475,961335,981124,1374613,1606942,1363324,963843,1325467,1845502,1509688,1546557,1933630,1743192,1356865,1103099,1284173,1670003,1613207,1478088,1601933
Other,36157,113734,6814,47749,16265,10269,14552,72976,29039,27033,24372,15256,285722,49516,60131,281763,22909,36009,550523,320400,114203,30258,39608,37625,123835
 
 
NM
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,46668,48542,48211,95089,105838,103699,81389,105464,105661,106098,156027,194017,130081,141084,201148,167826,201769,244497,261617,273495,286783,370942,472422,415335,385234
Republican,57634,54745,69645,54217,61710,79315,70688,80303,132170,146788,153733,131838,169692,235606,211419,250779,307101,270341,212824,232751,286417,376930,346832,335788,319667
Other,1099,9543,158,2300,1372,0,148,0,777,1040,1347,1760,27508,9241,4023,37632,5500,6449,95545,49828,25405,8432,10904,32635,93418
 
 
NY
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,781238,950796,2089863,2534959,3018298,2834500,2478598,2780204,3104601,2458212,3830085,4570724,3066848,2767956,3389558,2728372,3001285,3255487,3346894,3756177,4107697,4180755,4804945,4324228,4379789
Republican,1871167,1820058,2193344,1937963,2180670,3027478,2987647,2841163,3952815,4340340,3446419,2243559,3007932,3824642,3100791,2637700,3376519,2838414,2041690,1933492,2403374,2806993,2752771,2223397,2527142
Other,246108,485465,122419,215692,397430,439618,850545,653160,70825,294784,14575,351732,715286,569232,177913,835887,429006,391782,1690848,750460,310928,402984,79602,505278,895153
 
 
NC
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,305447,284270,287078,497566,616141,609015,527399,459070,652803,590530,713136,800139,464113,438705,927365,875635,824287,890167,1114042,1107849,1257692,1525849,2142651,2178391,2189316
Republican,232848,191753,348992,208344,223286,213633,263155,258572,558107,575062,655420,624844,627192,1054889,741960,915018,1346481,1237258,1134661,1225938,1631163,1961166,2128474,2270395,2362631
Other,446,6664,0,5591,38,0,0,73567,0,0,158,0,496188,25018,8581,65180,4593,6945,363147,182020,26135,13992,27232,56586,189617
 
 
ND
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,37422,13858,106648,178350,163148,124036,100144,95812,76694,96742,123963,149784,94769,100384,136078,79189,104429,127739,99168,106905,95284,111052,141278,124966,93758
Republican,160072,94931,131441,71772,72751,154590,118535,115139,191712,156766,154310,108207,138669,174109,153684,193695,200336,166559,136244,125050,174852,196651,168601,188320,216794
Other,8282,90292,1778,6168,37817,2149,1492,9765,1721,483,0,398,14444,6021,7546,28232,4206,2963,72721,34456,18120,5130,6742,9646,33808
 
 
OH
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,780037,477888,864210,1301695,1747122,1733139,1570763,1452791,1600367,1439655,1944248,2498331,1700586,1558889,2009959,1752414,1825440,1939629,1984942,2148222,2183628,2741165,2940044,2827621,2394164
Republican,1182022,1176130,1627546,1227679,1127709,1586773,1582293,1445684,2100391,2262610,2217611,1470865,1791014,2441827,2000626,2206545,2678559,2416549,1894310,1859883,2350363,2859764,2677820,2661407,2841005
Other,59594,362219,16590,80714,137594,0,0,37596,0,0,0,0,468098,94071,99871,324644,59236,37407,1060715,526329,168007,26974,90486,91794,261318
 
 
OK
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,217053,255798,219174,519468,501069,474313,401549,452782,430939,385581,370111,519834,301658,247147,532442,402026,385080,483423,473066,488105,474276,503966,502496,443547,420375
Republican,243831,226242,394046,188165,245122,348872,319424,268817,518045,473769,533039,412665,449697,759025,545708,695570,861530,678367,592929,582315,744337,959792,960165,891325,949136
Other,25726,46375,5207,0,3549,3027,1663,0,0,0,0,0,191731,23728,14101,52112,9066,9246,324364,136293,15616,0,0,0,83481
 
 
OR
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,80019,67589,109223,213871,266733,258415,248635,243147,270579,329204,367402,501017,358866,392760,490407,456890,536479,616206,621314,649641,720342,943163,1037291,970488,1022106
Republican,143592,142579,205341,136019,122706,219555,225365,260904,420815,406393,408060,282779,408433,486686,492120,571044,685700,560126,475757,538152,713577,866831,738475,754175,782403
Other,14911,69320,5378,18861,24582,3270,6147,20029,3665,0,0,2509,49683,46017,47349,153582,4348,25362,365572,189967,100031,26788,52098,64607,216827
 
 
PA
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,503202,409192,1067586,1295948,2353788,2171035,1940479,1752426,2146269,1981769,2556282,3130954,2259403,1796951,2328677,1937540,2228131,2194944,2239164,2215819,2485967,2938095,3276363,2990274,2926441
Republican,1218215,1401481,2055382,1453540,1690300,1889848,1835048,1902197,2415789,2585252,2439956,1673657,2090017,2714521,2205604,2261872,2584323,2300087,1791841,1801169,2281127,2793847,2655885,2680434,2970733
Other,129833,120053,27647,109514,91017,17831,19260,80526,18329,9482,10303,18079,396242,80633,86506,362089,32449,41220,928805,485319,145091,37648,81024,71332,218228
 
 
RI
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,55062,76606,118973,146604,165233,181122,175356,188619,203293,161790,258032,315463,246518,194645,227636,198342,197106,225123,213299,233050,249508,259760,296571,279677,252525
Republican,107463,125286,117522,115266,125012,138214,0,134892,210935,225819,147502,74615,122359,220383,181249,154793,212080,177761,131601,104683,130555,169046,165391,157204,180543
Other,5456,8223,699,4300,20904,313,98833,2587,270,0,0,0,16061,729,1699,62832,1303,1738,108465,52514,29049,8328,9804,9168,31076
 
 
SC
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,64170,49008,62700,102347,113791,95470,0,34423,173004,136372,198129,215700,197486,184559,450807,428220,344459,370554,525514,506152,566037,661699,862449,865941,855373
Republican,2244,1123,3188,1978,1646,1727,4547,5386,9793,75700,188558,309048,254052,477044,346149,439277,615539,606443,577507,573339,786892,937974,1034896,1071645,1155389
Other,392,620,2717,82,0,2633,428,102762,158290,88511,1,8,215430,12357,5627,20761,8531,9012,125891,70691,30973,18057,23624,26532,92265
 
 
SD
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,35938,27214,102660,183515,160137,131362,96711,117653,90426,122288,128070,163010,118023,139945,147068,103855,116113,145560,124888,139333,118804,149244,170924,145039,117458
Republican,110692,101299,157603,99212,125977,177065,135365,129651,203857,171569,178417,130108,149841,166476,151505,198343,200297,165415,136718,150543,190700,232584,203054,210610,227721
Other,35607,75355,1602,5711,10338,0,0,2801,0,0,0,0,13400,994,2105,25505,1487,2016,74648,33950,6765,6387,7997,8166,24914
 
 
TN
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,206558,158537,167343,259817,327083,351601,308707,270402,443710,456507,481453,635047,351233,357293,825879,783051,711714,679794,933521,909146,981720,1036477,1087437,960709,870695
Republican,219829,130882,195388,126806,146516,169153,200311,202914,446147,462288,556577,508965,472592,813147,633969,787761,990212,947233,841300,863530,1061949,1384375,1479178,1462330,1522925
Other,2239,10856,742,4015,1932,2069,1774,76967,2696,20609,13762,34,424792,30742,16498,46804,10067,9223,207817,121429,32512,16467,33134,35538,114407
 
 
TX
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,288767,484605,341032,760348,734485,840151,821605,750700,969228,859958,1167932,1663185,1266804,1154289,2082319,1881147,1949276,2352748,2281815,2459683,2433746,2832704,3528633,3308124,3877868
Republican,141470,130023,367036,97959,103874,199152,191425,282240,1102878,1080619,1121699,958566,1227844,2298896,1953300,2510705,3433428,3036829,2496071,2736167,3799639,4526917,4479328,4569843,4685047
Other,56089,42881,931,5119,5123,1865,137300,114306,3840,14591,22214,5060,584758,18096,36265,149784,14867,37833,1376132,415794,174252,51128,69834,115884,406311
 
 
UT
Year,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Democrat,56639,47001,80985,116750,150246,154277,150088,149151,135364,118364,169248,219628,156665,126284,182110,124266,155369,207343,183429,221633,203053,241199,327670,251813,310674
Republican,81555,77327,94618,84795,64555,93151,97891,124402,194190,215631,205361,180682,238728,323643,337908,439687,469105,428442,322632,361911,515096,663742,596030,740600,515211
Other,7634,32662,1001,5034,1876,389,340,2752,0,0,100,0,27175,28549,21200,40199,5182,11223,237937,82085,52605,22903,28670,25027,305432
 
 
VT
