Year,State,Race,Division,Total,Democrat,Republican,Prohibitionist,Socialist,Ind. Prog.,Ind.,Scattering,Unaffiliated,Prohib.-Dem.-Soc.,Farmer-Labor,Workers,Soc.-Lab.,Soc. And Prog.,Prog.,American,Commonwealth Land,Ind. Rep.,La Follette Ind.,Soc.-Ind.,Beer-Wine Ind.,Liberal,Ind. Party of Montana,Nat. Prohib.,Com.,Soc. - La Follette,La Folette-Prog.,War Vet.,Ind. Org.,Ind. Wet,Dem. And Prog.,Nonp.,Industrialist,Dem.-Lab.,Wet Ind.,Dem.-Ind.,Lab.,Dem.-Soc.-Lab.,Rep.-Prohib.,Dem.-Prohib.,Prohib.-Lab,Dem.-Prohib.-Am.-Lab.,Liberal Ind.
1924,AL,President,All,,112966,45005,538,,8084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Senator,All,,154560,39818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,1,,9932,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,2,,15056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,3,,10425,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,4,,9945,3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,5,,9074,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,6,,6672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,7,,15984,11987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,8,,13353,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,9,,18958,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AL,Representative,10,,11394,7706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AZ,President,All,,26235,30516,,,17210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AZ,Representative,All,,40329,8625,,,,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,President,All,,84795,40564,,,13173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Senator,All,,100408,36163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,1,,15514,4580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,2,,11412,4066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,3,,13192,8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,4,,15935,6060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,5,,16287,4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,6,,14101,4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,AR,Representative,7,,14016,4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,President,All,,105514,733250,18365,424649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,1,,47250,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,2,,30590,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,3,,,61512,,14665,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,4,,,44048,,10360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,5,,,38893,,12175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,6,,,68547,,7858,,42873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,7,,,65740,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,8,,,55713,,,,,358,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,9,,,119993,,,,,91,,67735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,10,,80870,133780,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CA,Representative,11,,,93811,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CO,President,All,,75238,195171,966,,57368,,,,,12577,562,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CO,Senator,Early,,138714,159353,,,,,,19554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CO,Senator,Late,,139660,159698,,,,,,18811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CO,Representative,1,,36519,47155,,,,,,3340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CO,Representative,2,,31378,51028,,,,,,7255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CO,Representative,3,,37976,53877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CO,Representative,4,,17486,33262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CT,President,All,,110184,246322,,,,,,,,,,1373,42416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CT,Senator,All,,71871,112400,,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CT,Representative,1,,29381,61451,,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CT,Representative,2,,22258,42161,105,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CT,Representative,3,,21858,48963,,1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CT,Representative,4,,22031,57966,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CT,Representative,5,,24715,34548,,,,,,,,,,,,3533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,DE,President,All,,33445,53441,,,4979,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,DE,Senator,All,,36085,52731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,DE,Representative,All,,35943,51536,,,,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,FL,President,All,,62083,30633,5498,,8625,,,,,,,,,,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,FL,Representative,1,,23244,5816,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,FL,Representative,2,,11021,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,FL,Representative,3,,12660,2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,FL,Representative,4,,25318,12183,,,,,,,,,,,,,2993,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,President,All,,123200,32300,231,,12691,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Senator,All,,155497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,1,,14694,448,,,,,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,2,,10667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,3,,8138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,4,,10420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,5,,16608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,6,,12488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,7,,20008,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,8,,12261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,9,,17007,2395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,10,,9280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,11,,11590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,GA,Representative,12,,11754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,ID,President,All,,24256,69879,,,54160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,ID,Senator,All,,25199,99846,,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,ID,Representative,1,,20234,33347,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,ID,Representative,2,,13470,44365,,139,,,,,,,,,,23357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,President,All,,576975,1453321,2367,,432027,,,,,,2622,2334,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Senator,All,,806702,1449180,,18702,,,,382,,,2518,2966,,,,391,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,1,,13623,43661,,220,,,,2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,2,,37482,113349,,1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,3,,42278,87563,,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,4,,30955,23947,,380,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,5,,20589,14730,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,6,,53463,116066,,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,7,,46253,133563,,3901,,,,13543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,8,,17799,13853,,171,,,,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,9,,12541,42829,,471,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,10,,30474,126383,,1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,11,,15246,83696,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,12,,,68696,,533,,,2,,,,,,,12105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,13,,13887,49717,,281,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,14,,26680,48920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,15,,23051,53123,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,16,,34185,43098,,499,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,17,,26497,40226,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,18,,29034,52992,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,19,,42490,55605,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,20,,36669,32569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,21,,44414,45588,,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,22,,40604,56525,,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,23,,45644,38670,,316,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,24,,29954,35356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,25,,33638,47080,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IL,Representative,At Large,,1327820,3032729,,35018,,,,,,,4395,4805,,,,759,752,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,President,All,,492245,703042,4416,,71700,,,,,,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,1,,44335,48203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,2,,43690,43073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,3,,44376,39446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,4,,48803,35007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,5,,28573,46264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,6,,37309,46094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,7,,62279,94751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,8,,41119,51864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,9,,41973,51280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,10,,33344,67143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,11,,39998,47978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,12,,35565,49921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IN,Representative,13,,42895,69042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,President,All,,162600,537635,,,272243,,445,,,,4037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Senator,All,,446651,447706,,,,,31,535,,,,,,,,,1124,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,1,,17110,42711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,2,,32893,49117,,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,3,,25215,54921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,4,,20636,50850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,5,,22175,52237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,6,,19028,42843,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,7,,18454,66550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,8,,25414,42319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,IA,Representative,9,,22741,49157,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
