Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Scattering,"Dem., Oak","Rep., Oak.",Oak,Pathfinders,State Rights,"Dem., Oak., Nonp.",Am. Lab.,"Dem., Am Lab","Rep., Am. Lab.","Am. Lab., Rep.",Town.,"Dem., Rep.","Rep., Dem., Prog., Town.","Dem., Prog.","Rep., Dem., Prog.","Dem., Prog. Town.","Rep., Dem.","Rep., Town.",Ind. Prog.,"Rep., Union","Dem., Union",Soc.-Lab.,Lab.,Communist,Ind.,Unaffiliated,Prog.,Farm-Lab.,Union,Lab. MD,Nat. Prohib,Town. Pension-Labor,Indus. Govt.,Pathfinders,Ind. Town. Rep.,Ind. Com.,Ind. Soc.-Lab.,Ind. Rep.,Prog. Lab.,Const. Dem.,Common.,Roose. Lib. Ind.,Roose. Ind.,Independent Peoples,Farmer's Laborer's Friend,Prog. Ind.,Kenney,Liberal Lab. Choice,Soc. Workers,Create Steady Employment,Citizens' Ind.,"Andrew Jackson, Rep.","Am. Lab., Soc.","Dem., City Fusion",Freedom,"Rep., Soc.","Am. Lab, Town.","Dem., Am Lab., General Welfare","Dem., Am. Lab., Soc.",Indus. Gvt.,"Dem., Oak, Prohib.","Rep., Prohib., Nonp.","Dem., Ind. Citizen, Nonp.","Rep., Good Gvt.",Ind. Soc.
1938,AR,Representative,7,16145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,1,,,,,62,,,,,,,,,,,43320,73636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,2,,,,,53,,,,,,,,,,,,,71496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,3,,,,,850,,,,,,,,,,,,119236,,,,,,,,,,,,8271,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,4,,40842,,,,,,,,,,,,,,,,,64452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,5,,,,,,,,,,,,,,,,,,,,91868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,6,,,,,469,,,,,,,,,,,,,118632,,,,,,,,,,,7015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,7,62599,50504,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,8,68681,84084,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,9,,,,,81,,,,,,,,,,,,,,,,,91128,,,,,,,,,3536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,10,84791,41194,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,11,59993,68712,,,228,,,,,,,,,,,12713,,,,,,,,,,,,,817,,,3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,12,75003,40457,,,119,,,,,,,,,,,7903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,13,,,,,468,,,,,,,,,,,,,,96258,,,44808,,,,,,,5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,14,67588,31375,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,15,83086,51483,,,612,,,,,,,,,,,,,,,,,,,,,,,,2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,16,,,,,133,,,,,,,,,,,16045,,,,,,97407,,,,,,,2070,,32863,6643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,17,56513,26861,,,420,,,,,,,,,,,8870,,,,,,,,,,,,,,,,3774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,18,51874,52216,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,3384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,19,75819,,,,,,,,,,,,,,,,,,,,,,66402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CA,Representative,20,65243,42710,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CO,Representative,1,83517,42758,688,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CO,Representative,2,65448,60259,,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CO,Representative,3,72736,54007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CO,Representative,4,43596,24805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CT,Representative,1,64483,,,24718,,,,,,,,,,,,,,,,,,,,,68690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CT,Representative,2,48290,,,6333,3,,,,,,,,,,,,,,,,,,,,45056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CT,Representative,3,55893,,,17111,,,,,,,,,,,,,,,,,,,,,55751,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CT,Representative,4,44626,61660,,35328,,,,,,,,,,,,,,,,,,,,,,,,252,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CT,Representative,5,39824,39652,,15369,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,CT,Representative,At Large,250013,271329,,99717,,,,,,,,,,,,,,,,,,,,,,,6862,734,,,,,,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,DE,Representative,All,46989,60661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,816,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,FL,Representative,1,43837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,FL,Representative,2,24830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,FL,Representative,3,20174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,FL,Representative,4,29621,6705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,FL,Representative,5,27894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,1,10920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,2,5137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,3,5987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,4,5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,5,6906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,6,4363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,7,5622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,8,4922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,9,8934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,GA,Representative,10,9044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,ID,Representative,1,48318,28640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,ID,Representative,2,54527,47199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,1,30207,26396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,2,129620,108483,,,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,3,127597,100357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,4,61504,18962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,5,32104,10842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,6,154818,109031,,,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,7,192750,162069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,8,31823,10440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,9,44064,39512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,10,102234,141685,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,IL,Representative,11,48876,94565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
