Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Communist,Unaffiliated,Ind.,Prog.,Scattering,Ind. Gvt.,Am. Lab.,Farm-Lab.,Soc.-Lab.,"Rep., Dem., Prog.","Dem., Rep.","Rep., Dem., Prog., Town.","Dem., Prog.","Rep., Dem.","Prohib., Prog.","Rep., Prog.",Peace,Union,Liberal Dem.,Ind. Dems.,Labor Party of MD,Indus.,Ind. Rep.,Const. Ind.,Soc. Work.,Ind. Prog.,Buono Food Plan,Lib. Ind.,Nat. Prohib.,$15 Pension,Ind. Lincoln Princ.,Ind. For Lab.,Keep Am. Neutral,Jersey Pens.,Fusion,Roose. New Deal,Workers,Individ.,No Wage Tax,State Rights,Am. Way.,Prog. Lab.,Jeff. Dem.,Tolb. Rep.
1940,TX,Representative,18,51015,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,19,53510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,20,47075,9296,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,TX,Representative,21,49468,3832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,UT,President,All,154277,93151,,198,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,UT,Senator,All,155499,91931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,UT,Representative,1,62654,47021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,UT,Representative,2,86874,50332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VT,President,All,64269,78371,,,411,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VT,Senator,Late,54263,87150,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VT,Senator,Early,47101,93283,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VT,Representative,All,50804,89637,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,President,All,235961,109363,882,282,71,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Senator,All,274260,,,,,19409,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,1,22493,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,2,29788,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,3,34885,,,,,1126,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,4,19043,,,788,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,5,25631,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,6,30046,13864,,186,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,7,26233,13964,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,8,33031,8794,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,VA,Representative,9,32412,24109,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WA,President,All,462145,322123,1686,4586,2626,,,,,,,,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WA,Senator,All,404718,342589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WA,Representative,1,113988,71110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WA,Representative,2,66314,49209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WA,Representative,3,60529,48700,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WA,Representative,4,50493,48003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WA,Representative,5,67582,54258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WA,Representative,6,71536,42334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WV,President,All,495662,372414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WV,Senator,All,492413,381806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WV,Representative,1,72717,63906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WV,Representative,2,77045,56911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WV,Representative,3,79441,60810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WV,Representative,4,82979,74491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WV,Representative,5,81903,48223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WV,Representative,6,105927,65762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,President,All,704821,679206,2148,15071,2394,,,,,,,,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Senator,All,176688,553692,,,1308,,,605609,,,,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,1,26520,69276,,,,,,28308,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,2,18237,58121,,,,,,60481,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,3,11806,54457,,,,,,52131,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,4,57381,50796,,,,,,52907,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,5,37872,73728,,,,,,54501,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,6,30162,66821,,,,,,19387,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,7,14495,58696,,,,,,40558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,8,,61987,,,,,,49005,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,9,6763,47825,,,,,,61009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WI,Representative,10,17284,37819,,,,,,50776,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WY,President,All,59287,52633,172,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WY,Senator,All,65022,45682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,WY,Representative,All,57030,49701,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
