Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Communist,Union,Unaffiliated,Scattering,Christian,"Dem., Rep.","Prog., Dem.","Rep., Dem., Prog.","Dem., Prog.","Rep., Dem.",Prog.,Soc. Lab.,Nat. Union,"Townsend, Farm.-Lab.",Ind. Rep.,Ind.,Union Prog.,Farm.-Lab.,"Townsend, Union",Lab.,"Townsendite, Prohib. Econ.",Social Justice,Townsend Plan,"Social Justice, Union",Social Justice,"Townsend, Social Justice, Dem.","Townsend, Social Justice",People's Labor,"Townsend, Coughlin, Labor","Coughlin, Rep.","Social Justice, Townsend",Third Party,Commonwealth,American,United,Indus.,B&T Rep.,LW Rep.,Nat. Prohib.,Townsend Nonp.,Prop. Home,Townsend Social Justice,End Poverty Const,For People,Off. Townsend,Nat. Social Justice,Coughlin Social Justice,Social Justice Labor,Social Justice Democrat,"Lab., Justice, Gumption",American Labor,"Republican, Communist",Square Deal,"Dem., American Labor",Prosperity,Your,"Union, Square Deal",Royal Oak,Ind. Lab.,Dem.; Victory,"Rep., Nat. Union, Soc. Just., Town., United Lab.","Old Age Pension, Royal Oak","Rep., Nat. Union, Royal Oak, Soc. Just., Town., United Lab.","Rep., Nat. Union, Soc. Just., Town., Union, United Lab.","American, Royal Oak","Commonwealth, Town.","Dem., Oak, Victory","Rep., Nat. Union, Town., Union, United Lab., Nonp.","Dem., Justice, Oak",Roose.,No Party,"Dem., Oak","Ind., Oak.","Dem., Oak, Union","Dem., Farm-Lab., Oak, Nonp.","Rep., Oak.",Thom. Jeff.,"Rep., Com.","Prohib., Old Age Sec.","Rep., Union",Town. Recov.,"Soc., Oak, No Party","Jeff., Cool.","Dem., Ind., Oak., Nonp.",United Parties,"Dem., Union","Dem., Ind., Prog.","Dem., Farm-Lab., Ind., Union",Nonp.,Good Government
1936,CA,Representative,8,,57808,,,,,,7,,,,,78557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,9,,,,,2571,,,4,,,,,,82360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,10,72476,31700,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,11,69679,54914,,,1041,,,8,,,,,,,12340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,12,62034,53445,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,13,,,,,6362,,6946,841,,119251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,14,63365,25497,,770,1329,,,25,,,,,,,12874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,15,,44559,,,,,,52,,,,,99107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,16,90986,66583,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,17,68189,24981,,,1634,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,18,61415,42748,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,19,70339,42748,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CA,Representative,20,59208,44925,,,916,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CO,President,All,295021,181267,,1593,497,9962,,,,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CO,Senator,All,299376,166308,,4438,,,,,,,,,,,,,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CO,Representative,1,100704,41574,,1073,,,,,,,,,,,,,,2675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CO,Representative,2,66420,57145,,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CO,Representative,3,74013,48871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CO,Representative,4,42010,22175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CT,President,All,382189,278685,,5683,1193,21805,,,,,,,,,,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CT,Representative,1,101766,66005,,793,343,6811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CT,Representative,2,55369,50369,,490,,2456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CT,Representative,3,77295,57243,,1280,286,5443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CT,Representative,4,80875,67768,,7791,,5072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CT,Representative,5,55897,39230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,CT,Representative,At Large,371572,282618,,10936,1208,21566,,,,,,,,,,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,DE,President,All,69702,54014,,172,51,442,,,,,,,,,,,,,3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,DE,Senator,All,67136,52469,,183,53,,,,,,,,,,,,,,6897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,DE,Representative,All,65485,55664,,176,,,,,,,,,,,,,,,5338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,FL,President,All,249117,78248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,FL,Senator,Early,246050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,FL,Senator,Later,241528,57016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,FL,Representative,1,61855,21215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,FL,Representative,2,47520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,FL,Representative,3,34239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
