Year,State,Race,Division,Democrat,Republican,Prohibitionist,Socialist,Ind.,Soc.-Lab.,Am. Lab,Lib.,Prog.,Const.,Other,Scattering,Ind. Dem.,Am. First,DFL,Indus. Gvt.,Reg. Dems.,Ind. Rep.,Nat. Prohib.,South. Dem.,Tolb. Rep.,Texas Reg.
1944,NM,Representative,All,85244,66644,,,,,,,,,,,,,,,,,,,,
1944,NY,Representative,All,2495816,2827717,,,,,499575,181928,,19561,,,,,,,,,,,,
1944,NC,Representative,All,524274,230384,,,,,,,,,,,,,,,,,,,,
1944,ND,Representative,All,56699,101007,,,39888,,,,,,,,,,,,,,,,,
1944,OH,Representative,All,1392534,1560440,,,1149,,,,,,211,,,,,,,,,,,
1944,OK,Representative,All,401232,282279,431,,618,,,,,,,,,,,,,,,,,
1944,OR,Representative,All,170264,272212,,,,,,,,,,,,,,,,,,,,
1944,PA,Representative,All,1880631,1827055,1297,3501,86,,,,,,,,,,,,,,,,,
1944,RI,Representative,All,175368,118011,,,,,,,,,102,,,,,,,,,,,
1944,SC,Representative,All,97360,3495,,,,,,,,,,7,,,,,,,,,,
1944,SD,Representative,All,78850,146888,,,,,,,,,,,,,,,,,,,,
1944,TN,Representative,All,260694,131714,,,6214,,,,,,,,,,,,,,,,,
1944,TX,Representative,All,996013,62304,,,,,,,,,,102,,,,,,,,,,
1944,UT,Representative,All,149599,98082,,,,,,,,,,,,,,,,,,,,
1944,VT,Representative,All,46230,76800,,,,,,,,,,6,,,,,,,,,,
1944,VA,Representative,All,239347,71604,,1151,30849,,,,,,,29,,,,,,,,,,
1944,WA,Representative,All,426036,375554,631,872,,,,,,,,,,,,,,,,,,
1944,WV,Representative,All,389738,328771,,,,,,,,,,,,,,,,,,,,
1944,WI,Representative,All,408714,624833,,14345,6694,,,,108068,,,204,,,,,,,,,,
1944,WY,Representative,All,42569,53533,,,,,,,,,,,,,,,,,,,,
